Vis,U,V,W
 (4.320921301841735840e-01+1.576033469063986558e-06j), (-2.371631432456829771e+03+0.000000000000000000e+00j), (-2.059185213269951419e+03+0.000000000000000000e+00j), (4.282796117724717078e+03+0.000000000000000000e+00j)
 (4.293199181556701660e-01+-1.668846198299434036e-05j), (-2.215986513877528523e+03+0.000000000000000000e+00j), (-2.812507167417713390e+03+0.000000000000000000e+00j), (5.837683625123932870e+03+0.000000000000000000e+00j)
 (3.656278550624847412e-01+-3.953877239837311208e-05j), (-2.018841538080548389e+03+0.000000000000000000e+00j), (-3.767756206028937868e+03+0.000000000000000000e+00j), (7.806309115360744727e+03+0.000000000000000000e+00j)
 (1.908659636974334717e-01+-4.187967351754195988e-05j), (-1.791207895444493488e+03+0.000000000000000000e+00j), (-4.869381727358479111e+03+0.000000000000000000e+00j), (1.008033584712824995e+04+0.000000000000000000e+00j)
 (-1.003970801830291748e-01+1.438141225662548095e-06j), (-1.534650333167279314e+03+0.000000000000000000e+00j), (-6.107550336608434009e+03+0.000000000000000000e+00j), (1.264481893569916247e+04+0.000000000000000000e+00j)
 (-3.615252077579498291e-01+6.922145257703959942e-05j), (-1.250368907761179344e+03+0.000000000000000000e+00j), (-7.480556823045973942e+03+0.000000000000000000e+00j), (1.548555927662187241e+04+0.000000000000000000e+00j)
 (-3.437863886356353760e-01+7.269593334058299661e-05j), (-9.394541403374405490e+02+0.000000000000000000e+00j), (-8.984418057309238065e+03+0.000000000000000000e+00j), (1.859159726260619209e+04+0.000000000000000000e+00j)
 (5.644812583923339844e-01+-1.040961160470033064e-05j), (2.016650859566680083e+03+0.000000000000000000e+00j), (6.008818247337662797e+02+0.000000000000000000e+00j), (-1.228514163970104619e+03+0.000000000000000000e+00j)
 (4.333243370056152344e-01+2.279145701322704554e-05j), (4.345150522044657919e+03+0.000000000000000000e+00j), (1.285225751229848129e+03+0.000000000000000000e+00j), (-2.651745986042616551e+03+0.000000000000000000e+00j)
 (-3.770555555820465088e-02+-3.891333471983671188e-05j), (6.969706002299890315e+03+0.000000000000000000e+00j), (2.065799855831008244e+03+0.000000000000000000e+00j), (-4.250970066131550993e+03+0.000000000000000000e+00j)
 (2.583453059196472168e-01+3.734345955308526754e-05j), (9.877613581041519865e+03+0.000000000000000000e+00j), (2.930486098093419969e+03+0.000000000000000000e+00j), (-6.023267704461908579e+03+0.000000000000000000e+00j)
 (1.639266908168792725e-01+3.246611231588758528e-05j), (1.305808667933095239e+04+0.000000000000000000e+00j), (3.881774639134459903e+03+0.000000000000000000e+00j), (-7.958826615027555818e+03+0.000000000000000000e+00j)
 (4.122609496116638184e-01+-2.485605909896548837e-05j), (-4.761752066628185275e+03+0.000000000000000000e+00j), (-1.174544440207440630e+03+0.000000000000000000e+00j), (2.462411953994879696e+03+0.000000000000000000e+00j)
 (2.869054973125457764e-01+-1.806522232072893530e-05j), (-5.765227857459258303e+03+0.000000000000000000e+00j), (-9.703495388709882263e+02+0.000000000000000000e+00j), (2.044831904352787205e+03+0.000000000000000000e+00j)
 (-2.417298592627048492e-02+1.263548256247304380e-05j), (-7.215413108621959509e+03+0.000000000000000000e+00j), (-6.848484390888671669e+02+0.000000000000000000e+00j), (1.436741758605184259e+03+0.000000000000000000e+00j)
 (-2.215500026941299438e-01+2.622917963890358806e-05j), (-9.061755013481979404e+03+0.000000000000000000e+00j), (-3.145388233093656254e+02+0.000000000000000000e+00j), (6.658196952411053644e+02+0.000000000000000000e+00j)
 (-1.179838180541992188e-02+-2.462054180796258152e-05j), (-1.127279605789338166e+04+0.000000000000000000e+00j), (1.296686814437114208e+02+0.000000000000000000e+00j), (-2.569834202845554501e+02+0.000000000000000000e+00j)
